"case","alpha","n","p","rho","sparsity","iter","loglambda","auc.mean","auc.sd","tau","auc.low","auc.upp"
"blockdiag",0.5,500,1000,0.8,0.05,500,-2.5,0.747195410526316,0.0401349406438298,6.72917588678169,0.743677427868657,0.750713393183975
"blockdiag",0.5,500,1000,0.8,0.05,500,-2,0.757293894736843,0.0396671331086427,5.61879120066208,0.753816917217587,0.760770872256098
"blockdiag",0.5,500,1000,0.8,0.05,500,-1.5,0.772972631578948,0.0388670134619871,4.57422631299706,0.769565787638958,0.776379475518937
"blockdiag",0.5,500,1000,0.8,0.05,500,-1,0.795660968421053,0.0371068780326573,3.68485879639124,0.792408407153872,0.798913529688235
"blockdiag",0.5,500,1000,0.8,0.05,500,-0.5,0.822743957894738,0.0350600285923538,3.06856687370887,0.819670810891495,0.825817104897981
"blockdiag",0.5,500,1000,0.8,0.05,500,0,0.848799831578948,0.0327557189421197,2.75726048614194,0.845928666222054,0.851670996935841
"blockdiag",0.5,500,1000,0.8,0.05,500,0.5,0.865828421052632,0.0305053683370161,2.72365652104907,0.863154507623247,0.868502334482017
"blockdiag",0.5,500,1000,0.8,0.1,500,-3,0.648438666666667,0.0297263446315722,7.82727395409112,0.64583303767577,0.651044295657563
"blockdiag",0.5,500,1000,0.8,0.1,500,-2.5,0.653869911111111,0.0296797757511493,6.70873589403383,0.65126836406256,0.656471458159663
"blockdiag",0.5,500,1000,0.8,0.1,500,-2,0.661845755555556,0.0296064242316204,5.61782453760595,0.659250638051174,0.664440873059938
"blockdiag",0.5,500,1000,0.8,0.1,500,-1.5,0.674109244444444,0.0297093224051197,4.5956988808373,0.671505107517483,0.676713381371406
"blockdiag",0.5,500,1000,0.8,0.1,500,-1,0.692050333333333,0.0292501305036206,3.72993189000916,0.689486446351185,0.694614220315481
"blockdiag",0.5,500,1000,0.8,0.1,500,-0.5,0.714271555555555,0.0288698948794772,3.12884989962864,0.711740997695367,0.716802113415744
"blockdiag",0.5,500,1000,0.8,0.1,500,0,0.735176644444444,0.0287371231409525,2.82213575168601,0.732657724540262,0.737695564348625
"blockdiag",0.5,500,1000,0.8,0.1,500,0.5,0.747365688888888,0.0277618353811563,2.78623708074399,0.744932256726065,0.749799121051711
"ind",0.5,500,1000,0.8,0.01,500,-3,0.999951111111111,0.000218497298206701,7.81818283077104,0.999931958978493,0.99997026324373
"ind",0.5,500,1000,0.8,0.01,500,-2.5,0.999962424242425,0.00017163963732525,6.81513591554081,0.999947379364874,0.999977469119975
"ind",0.5,500,1000,0.8,0.01,500,-2,0.999975151515151,0.000126347980299777,5.82340710239946,0.999964076626379,0.999986226403924
"ind",0.5,500,1000,0.8,0.01,500,-1.5,0.999988282828283,5.48750115864531e-05,4.86055768601721,0.999983472821441,0.999993092835125
"ind",0.5,500,1000,0.8,0.01,500,-1,0.999997171717172,2.00230937933268e-05,3.98992202294069,0.999995416615617,0.999998926818727
"ind",0.5,500,1000,0.8,0.01,500,-0.5,0.999999595959596,6.38203526506083e-06,3.32116552053084,0.99999903654954,1.00000015536965
